year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
2004,67,Avon-Tri-Village / Wimble Shoals,420.0,420.0,420.0,no,0.0,50,370.0,440.0,350.0,460.0,427.5,20.0,0.519,0.518,0.181,0.879,116,0.0,15.35,13,0,"[12,19]",SCATTER_SETBACK(70m),453.0,33.0
2004,68,Tri-Village,555.0,555.0,555.0,no,0.0,50,489.0,590.0,460.0,590.0,560.0,20.0,0.586,0.581,0.224,0.946,114,0.0,12.96,11,0,"[14,19]",SCATTER_SETBACK(101m),600.0,45.0
2004,69,Tri-Village,560.0,560.0,560.0,no,0.0,50,549.0,580.0,520.0,590.0,570.0,30.0,0.854,0.852,0.128,1.214,131,0.0,7.45,6,0,"[7,14]",,555.0,-5.0
2004,70,Tri-Village,480.0,480.0,480.0,no,0.0,50,430.0,521.0,410.0,530.0,487.5,30.0,0.549,0.561,0.207,0.909,136,0.0,8.71,8,0,"[5,13]",SCATTER_SETBACK(91m),437.0,-43.0
2004,71,Tri-Village,410.0,410.0,410.0,no,0.0,50,400.0,451.0,400.0,460.0,420.0,20.0,0.258,0.252,0.126,0.618,123,0.0,9.82,8,0,"[7,11]",SCATTER_SETBACK(51m),473.0,63.0
2004,72,Tri-Village,490.0,490.0,490.0,no,0.0,50,470.0,520.0,460.0,520.0,495.0,20.0,0.377,0.402,0.135,0.737,106,0.0,8.29,7,0,"[5,13]",SCATTER_SETBACK(50m),530.0,40.0
2004,73,Tri-Village,550.0,550.0,550.0,no,0.0,50,529.0,570.0,500.0,580.0,555.0,20.0,0.514,0.503,0.137,0.874,114,0.0,7.83,7,0,"[11,15]",SCATTER_SETBACK(41m),577.0,27.0
2004,74,Tri-Village,600.0,600.0,600.0,no,0.0,50,589.0,610.0,580.0,610.0,605.0,20.0,0.476,0.477,0.199,0.836,111,0.0,3.43,3,0,"[10,13]",,590.0,-10.0
2004,75,Tri-Village,540.0,540.0,540.0,no,0.0,50,520.0,580.0,520.0,590.0,545.0,20.0,0.625,0.623,0.148,0.985,122,0.0,4.07,3,0,"[1,9]",SCATTER_SETBACK(60m),534.0,-6.0
2004,76,Tri-Village,505.0,505.0,505.0,no,0.0,50,499.0,510.0,490.0,520.0,512.5,20.0,0.542,0.562,0.206,0.902,110,0.0,1.81,2,0,"[3,11]",,526.0,21.0
2004,77,Tri-Village,500.0,500.0,500.0,no,0.0,50,500.0,501.0,500.0,510.0,505.0,20.0,0.393,0.372,0.131,0.753,100,0.0,2.52,2,0,"[4,12]",,529.0,29.0
2004,78,Tri-Village,490.0,490.0,490.0,no,0.0,50,479.0,500.0,460.0,500.0,495.0,30.0,0.497,0.492,0.172,0.857,130,0.0,0.19,0,0,"[6,14]",,530.0,40.0
2004,79,Tri-Village,500.0,500.0,500.0,no,0.0,50,490.0,530.0,480.0,540.0,510.0,20.0,0.667,0.65,0.255,1.027,121,0.0,9.36,8,0,"[6,11]",,526.0,26.0
2004,80,Tri-Village,490.0,490.0,490.0,no,0.0,50,449.0,520.0,440.0,540.0,495.0,20.0,0.59,0.602,0.092,0.95,115,0.0,6.15,5,0,"[5,7]",SCATTER_SETBACK(71m),552.0,62.0
2004,81,Tri-Village,365.0,365.0,365.0,no,0.0,50,280.0,431.0,250.0,440.0,372.5,30.0,0.652,0.651,0.152,1.012,126,0.0,4.17,4,0,"[5,8]",SCATTER_SETBACK(151m),354.0,-11.0
2004,82,Tri-Village,120.0,120.0,120.0,no,0.0,50,99.0,210.0,80.0,240.0,127.5,20.0,0.747,0.697,0.176,1.107,114,0.0,10.42,9,0,"[1,9]",SCATTER_SETBACK(111m),196.0,76.0
2004,83,Tri-Village,70.0,70.0,70.0,no,0.0,50,30.0,110.0,20.0,120.0,75.0,20.0,0.594,0.513,0.208,0.954,100,0.0,11.25,10,0,"[1,5]",SCATTER_SETBACK(80m),115.0,45.0
2004,84,Pea Island / N. Rodanthe,30.0,30.0,30.0,no,0.0,50,10.0,50.0,10.0,60.0,35.0,20.0,0.841,0.944,0.542,1.201,121,0.0,8.39,7,0,"[0,3]",SCATTER_ELEV(0.54),50.0,20.0
2004,85,Pea Island / N. Rodanthe,70.0,70.0,70.0,no,0.0,50,39.0,90.0,30.0,100.0,80.0,30.0,0.679,0.656,0.201,1.039,126,0.0,7.44,6,0,"[1,6]",SCATTER_SETBACK(51m),85.0,15.0
2004,86,Pea Island / N. Rodanthe,50.0,50.0,50.0,no,0.0,50,40.0,70.0,30.0,80.0,60.0,20.0,0.62,0.596,0.148,0.98,111,0.0,7.11,6,0,"[0,7]",,88.0,38.0
2004,87,Pea Island / N. Rodanthe,40.0,40.0,40.0,no,0.0,50,30.0,71.0,20.0,90.0,47.5,25.0,0.749,0.748,0.154,1.109,125,0.0,7.63,7,0,"[1,7]",SCATTER_SETBACK(41m),40.0,0.0
2004,88,Pea Island / N. Rodanthe,120.0,120.0,120.0,no,0.0,50,90.0,160.0,80.0,170.0,125.0,30.0,0.962,1.028,0.308,1.322,126,0.0,8.6,7,0,"[1,10]",SCATTER_SETBACK(70m),121.0,1.0
2004,89,Pea Island / N. Rodanthe,160.0,160.0,160.0,no,0.0,50,160.0,160.0,150.0,170.0,165.0,20.0,0.735,0.743,0.126,1.095,117,0.0,6.1,5,0,"[2,10]",,185.0,25.0
2004,90,Pea Island / N. Rodanthe,150.0,150.0,150.0,no,0.0,50,149.0,160.0,140.0,160.0,155.0,20.0,0.498,0.506,0.149,0.858,117,0.0,6.16,5,0,"[3,12]",,176.0,26.0
