transect_id,gis,dune_vintage,dune_chainage_m,n_crossings,shoreline_chainage_m,beach_width_m
usa_NC_0032_0125,12,1997,54.41,1,68.35,13.94
usa_NC_0032_0125,12,2009,-8.86,1,29.10,37.96
usa_NC_0032_0125,12,2023,11.09,1,71.26,60.17
usa_NC_0032_0126,12,1997,47.13,1,59.90,12.77
usa_NC_0032_0126,12,2009,-15.36,1,23.88,39.23
usa_NC_0032_0126,12,2023,0.73,1,67.03,66.31
usa_NC_0032_0127,12,1997,51.86,1,62.44,10.58
usa_NC_0032_0127,12,2009,-8.23,1,28.07,36.30
usa_NC_0032_0127,12,2023,9.56,1,72.25,62.69
usa_NC_0032_0128,12,1997,52.51,1,61.40,8.89
usa_NC_0032_0128,12,2009,-11.31,1,25.52,36.82
usa_NC_0032_0128,12,2023,9.78,1,72.17,62.39
usa_NC_0032_0129,12,1997,50.16,1,59.07,8.91
usa_NC_0032_0129,12,2009,-17.15,1,23.37,40.51
usa_NC_0032_0129,12,2023,6.25,1,69.49,63.24
usa_NC_0032_0130,12,1997,54.29,1,62.45,8.16
usa_NC_0032_0130,12,2009,-12.87,1,25.34,38.21
usa_NC_0032_0130,12,2023,8.45,1,72.85,64.40
usa_NC_0032_0131,12,1997,53.24,1,64.42,11.17
usa_NC_0032_0131,12,2009,-20.26,1,20.18,40.44
usa_NC_0032_0131,12,2023,1.32,1,72.27,70.95
usa_NC_0032_0132,12,1997,51.51,1,66.03,14.52
usa_NC_0032_0132,12,2009,-26.16,1,19.82,45.98
usa_NC_0032_0132,12,2023,-2.29,1,70.44,72.73
usa_NC_0032_0133,12,1997,50.90,1,64.33,13.43
usa_NC_0032_0133,12,2009,-25.81,1,22.27,48.08
usa_NC_0032_0133,12,2023,4.51,1,69.62,65.11
usa_NC_0032_0134,12,1997,54.09,1,63.33,9.24
usa_NC_0032_0134,12,2009,-21.80,1,27.33,49.13
usa_NC_0032_0134,12,2023,9.15,1,73.93,64.78
usa_NC_0032_0135,13,1997,52.54,1,62.42,9.88
usa_NC_0032_0135,13,2009,-22.76,1,28.40,51.16
usa_NC_0032_0135,13,2023,4.01,1,70.69,66.68
usa_NC_0032_0136,13,1997,51.23,1,62.08,10.85
usa_NC_0032_0136,13,2009,-22.71,1,26.88,49.58
usa_NC_0032_0136,13,2023,2.04,1,69.72,67.68
usa_NC_0032_0137,13,1997,52.11,1,62.43,10.32
usa_NC_0032_0137,13,2009,-22.27,1,30.50,52.77
usa_NC_0032_0137,13,2023,4.40,1,72.54,68.13
usa_NC_0032_0138,13,1997,50.00,1,62.57,12.57
usa_NC_0032_0138,13,2009,-23.93,1,31.28,55.21
