year,topo_version,domain,profile,duneline_cell,interior_row0_cell,shift_m
1984,v3,14,11,22.06,24,19.4
1984,v3,14,12,22.93,28,50.7
1984,v3,14,13,22.81,28,51.9
1984,v3,14,14,22.68,24,13.2
1984,v3,14,15,22.55,24,14.5
1984,v3,14,16,22.42,24,15.8
1984,v3,14,17,23.3,25,17.0
1984,v3,14,18,23.17,25,18.3
1984,v3,14,19,23.04,25,19.6
1984,v3,14,20,22.91,25,20.9
1984,v3,14,21,22.79,25,22.1
1984,v3,14,22,23.66,26,23.4
1984,v3,14,23,23.53,25,14.7
1984,v3,14,24,23.4,25,16.0
1984,v3,14,25,23.28,25,17.2
1984,v3,14,26,23.15,25,18.5
1984,v3,14,27,24.02,26,19.8
1984,v3,14,28,23.89,26,21.1
1984,v3,14,29,23.77,26,22.3
1984,v3,14,30,23.64,25,13.6
1984,v3,14,31,23.51,25,14.9
1984,v3,14,32,24.38,26,16.2
1984,v3,14,33,24.25,26,17.5
1984,v3,14,34,24.0,25,10.0
1984,v3,14,35,23.75,25,12.5
