domain,dom_lrr_p1,dom_lrr_p2,dom_lrr_full,dom_r2_p1,dom_r2_p2,dom_r2_full,dom_n_p1,dom_n_p2,dom_n_full,dom_sc_p1,dom_sc_p2,dom_var_p1,dom_var_p2,dom_var_full,txn_lrr_p1,txn_lrr_p2,txn_class,trajectory,high_var
80,-3.6725000000000008,-1.5371753246753244,-3.2340940766550514,0.517490424717857,0.4276677477220484,0.8032831625873011,21,21,41,0.4,0.5,21.4733265531831,10.76787436972005,18.936647792038777,-3.7407467532467535,-1.5993181818181819,Persistent Erosion,Persistent Erosion,True
81,-3.987597402597401,-0.6947727272727274,-2.9806054006968647,0.6881178580833112,0.2318555380688443,0.8194295075068299,21,21,41,0.7,0.3,16.2558940233013,7.657573824754862,16.555263356168883,-4.066201298701299,-0.7757142857142859,Decelerating Erosion,Decelerating Erosion,True
82,-6.120357142857142,-1.7613311688311688,-3.1308623693379793,0.8707310750375243,0.7216445736523834,0.8075067439894078,21,21,41,0.4,0.2,14.279648826444289,6.623917375553921,18.086839088263194,-6.1297727272727265,-1.6952597402597405,Persistent Erosion,Persistent Erosion,True
83,-4.823214285714286,-2.070194805194805,-3.123506097560976,0.9350106367901435,0.7243738494832439,0.9091942775402465,21,21,41,0.6,0.2,7.6999009310555016,7.7326037857210395,11.67977934538841,-4.563571428571429,-2.2371428571428567,Persistent Erosion,Persistent Erosion,False
84,-4.295779220779221,-1.3296753246753248,-2.996010452961672,0.8932433003436224,0.45928532506882375,0.885426881701137,21,21,41,0.4,0.3,8.99270514790393,8.736231187637008,12.751825386689363,-4.353246753246753,-1.0941558441558443,Persistent Erosion,Persistent Erosion,False
85,-3.202532467532468,-0.3843181818181819,-2.136999128919861,0.8349470912249526,0.19447873431687246,0.8349506476524386,21,21,41,0.2,0.2,8.622066531998648,4.736189730007346,11.242033426478496,-3.1643181818181816,-0.4311688311688311,Decelerating Erosion,Decelerating Erosion,False
86,-2.8108441558441566,0.23285714285714287,-1.6386411149825784,0.7844133288589454,0.08170459375581325,0.7404773079868893,21,21,41,0.4,0.0,8.923001243731312,4.727083219030227,11.478355123216245,-2.797045454545454,0.14474025974025972,Decelerating Erosion,Decelerating Erosion,False
87,-2.867987012987013,0.8998051948051946,-1.239721254355401,0.8556813032089633,0.4453382162237968,0.5749901375266782,21,21,41,0.5,0.2,7.132112311620049,6.080696826185385,12.611227816986124,-2.8529220779220776,0.7880519480519483,Decelerating Erosion,Decelerating Erosion,False
88,-2.2189610389610395,1.8439610389610388,-0.45326655052264814,0.8644188711072353,0.742100870124329,0.14305322438878565,21,21,41,0.3,0.3,5.321363117836398,6.5823492841489415,13.126404632110987,-2.147305194805195,1.8974350649350653,Switching: Ero→Acc,Switching: Ero→Acc,False
89,-1.2607142857142857,1.5374025974025975,0.0903397212543554,0.740480227555443,0.7759125682745452,0.012518440138911832,21,21,41,0.2,0.0,4.51940104744688,5.002944463872919,9.493626743472163,-1.2745454545454544,1.5987662337662338,Switching: Ero→Acc,Switching: Ero→Acc,False
90,-0.20324675324675315,1.4916883116883117,0.5375174216027875,0.07165868408995058,0.550908463492063,0.3615172012672691,21,21,41,0.2,0.2631578947368421,4.429745311765432,8.155329547027115,8.452139966894238,-0.2928246753246754,1.4864285714285714,Accelerating Accretion,Accelerating Accretion,False
