transect_id,domain_number,distance_m,match_method
usa_NC_0033_0205,40.0,0.0,point_in_polygon
usa_NC_0033_0206,40.0,0.0,point_in_polygon
usa_NC_0033_0207,40.0,0.0,point_in_polygon
usa_NC_0033_0209,41.0,0.0,point_in_polygon
usa_NC_0033_0210,41.0,0.0,point_in_polygon
usa_NC_0033_0211,41.0,0.0,point_in_polygon
usa_NC_0033_0212,41.0,0.0,point_in_polygon
usa_NC_0033_0213,41.0,0.0,point_in_polygon
usa_NC_0033_0214,41.0,0.0,point_in_polygon
usa_NC_0033_0215,41.0,0.0,point_in_polygon
usa_NC_0033_0216,41.0,0.0,point_in_polygon
usa_NC_0033_0217,41.0,0.0,point_in_polygon
usa_NC_0033_0218,41.0,0.0,point_in_polygon
usa_NC_0033_0219,42.0,0.0,point_in_polygon
usa_NC_0033_0220,42.0,0.0,point_in_polygon
usa_NC_0033_0221,42.0,0.0,point_in_polygon
usa_NC_0033_0222,42.0,0.0,point_in_polygon
usa_NC_0033_0223,42.0,0.0,point_in_polygon
usa_NC_0033_0224,42.0,0.0,point_in_polygon
usa_NC_0033_0225,42.0,0.0,point_in_polygon
usa_NC_0033_0226,42.0,0.0,point_in_polygon
usa_NC_0033_0227,42.0,0.0,point_in_polygon
usa_NC_0033_0228,42.0,0.0,point_in_polygon
usa_NC_0033_0229,43.0,0.0,point_in_polygon
usa_NC_0033_0230,43.0,0.0,point_in_polygon
usa_NC_0033_0231,43.0,0.0,point_in_polygon
usa_NC_0033_0232,43.0,0.0,point_in_polygon
usa_NC_0033_0233,43.0,0.0,point_in_polygon
usa_NC_0033_0234,43.0,0.0,point_in_polygon
usa_NC_0033_0235,43.0,0.0,point_in_polygon
usa_NC_0033_0236,43.0,0.0,point_in_polygon
usa_NC_0033_0237,43.0,0.0,point_in_polygon
usa_NC_0033_0238,43.0,0.0,point_in_polygon
usa_NC_0033_0239,44.0,0.0,point_in_polygon
usa_NC_0033_0240,44.0,0.0,point_in_polygon
usa_NC_0033_0241,44.0,0.0,point_in_polygon
usa_NC_0033_0242,44.0,0.0,point_in_polygon
usa_NC_0033_0243,44.0,0.0,point_in_polygon
usa_NC_0033_0244,44.0,0.0,point_in_polygon
usa_NC_0033_0245,44.0,0.0,point_in_polygon
usa_NC_0033_0246,44.0,0.0,point_in_polygon
usa_NC_0033_0247,44.0,0.0,point_in_polygon
usa_NC_0033_0248,44.0,0.0,point_in_polygon
usa_NC_0033_0249,45.0,0.0,point_in_polygon
usa_NC_0033_0250,45.0,0.0,point_in_polygon
usa_NC_0033_0251,45.0,0.0,point_in_polygon
usa_NC_0033_0252,45.0,0.0,point_in_polygon
usa_NC_0033_0253,45.0,0.0,point_in_polygon
usa_NC_0033_0254,45.0,0.0,point_in_polygon
usa_NC_0033_0255,45.0,0.0,point_in_polygon
usa_NC_0033_0256,45.0,0.0,point_in_polygon
usa_NC_0033_0257,45.0,0.0,point_in_polygon
usa_NC_0033_0258,45.0,0.0,point_in_polygon
usa_NC_0033_0259,46.0,0.0,point_in_polygon
usa_NC_0033_0260,46.0,0.0,point_in_polygon
usa_NC_0034_0001,46.0,0.0,point_in_polygon
usa_NC_0034_0002,46.0,0.0,point_in_polygon
usa_NC_0034_0003,46.0,0.0,point_in_polygon
usa_NC_0034_0004,46.0,0.0,point_in_polygon
usa_NC_0034_0005,46.0,0.0,point_in_polygon
usa_NC_0034_0006,46.0,0.0,point_in_polygon
usa_NC_0034_0007,46.0,0.0,point_in_polygon
usa_NC_0034_0008,46.0,0.0,point_in_polygon
usa_NC_0034_0009,47.0,0.0,point_in_polygon
usa_NC_0034_0010,47.0,0.0,point_in_polygon
usa_NC_0034_0011,47.0,0.0,point_in_polygon
usa_NC_0034_0012,47.0,0.0,point_in_polygon
usa_NC_0034_0013,47.0,0.0,point_in_polygon
usa_NC_0034_0014,47.0,0.0,point_in_polygon
usa_NC_0034_0015,47.0,0.0,point_in_polygon
usa_NC_0034_0016,47.0,0.0,point_in_polygon
usa_NC_0034_0017,47.0,0.0,point_in_polygon
usa_NC_0034_0018,47.0,0.0,point_in_polygon
usa_NC_0034_0019,48.0,0.0,point_in_polygon
usa_NC_0034_0020,48.0,0.0,point_in_polygon
usa_NC_0034_0021,48.0,0.0,point_in_polygon
usa_NC_0034_0022,48.0,0.0,point_in_polygon
usa_NC_0034_0023,48.0,0.0,point_in_polygon
usa_NC_0034_0024,48.0,0.0,point_in_polygon
usa_NC_0034_0025,48.0,0.0,point_in_polygon
usa_NC_0034_0026,48.0,0.0,point_in_polygon
usa_NC_0034_0027,48.0,0.0,point_in_polygon
usa_NC_0034_0028,48.0,0.0,point_in_polygon
usa_NC_0034_0029,49.0,0.0,point_in_polygon
usa_NC_0034_0030,49.0,0.0,point_in_polygon
usa_NC_0034_0031,49.0,0.0,point_in_polygon
usa_NC_0034_0032,49.0,0.0,point_in_polygon
usa_NC_0034_0033,49.0,0.0,point_in_polygon
usa_NC_0034_0034,49.0,0.0,point_in_polygon
usa_NC_0034_0035,49.0,0.0,point_in_polygon
usa_NC_0034_0036,49.0,0.0,point_in_polygon
usa_NC_0034_0037,49.0,0.0,point_in_polygon
usa_NC_0034_0038,49.0,0.0,point_in_polygon
usa_NC_0034_0039,50.0,0.0,point_in_polygon
usa_NC_0034_0040,50.0,0.0,point_in_polygon
usa_NC_0034_0041,50.0,0.0,point_in_polygon
usa_NC_0034_0042,50.0,0.0,point_in_polygon
usa_NC_0034_0043,50.0,0.0,point_in_polygon
usa_NC_0034_0044,50.0,0.0,point_in_polygon
