year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
1984,53,Avon-Tri-Village / Wimble Shoals,170.0,190.0,194.0,-20.0,-4.0,-24.0,470.0,0.05106382978723404,0.988,0.588,
1984,54,Avon-Tri-Village / Wimble Shoals,160.0,160.0,204.0,0.0,-44.0,-44.0,960.0,0.04583333333333333,1.135,0.813,
1984,55,Avon-Tri-Village / Wimble Shoals,170.0,170.0,203.0,0.0,-33.0,-33.0,630.0,0.05238095238095238,1.099,0.801,
1984,56,Avon-Tri-Village / Wimble Shoals,180.0,190.0,194.0,-10.0,-4.0,-14.0,680.0,0.020588235294117647,0.959,0.649,
1984,57,Avon-Tri-Village / Wimble Shoals,210.0,260.0,240.0,-50.0,20.0,-30.0,525.0,0.05714285714285714,0.925,0.58,
1984,58,Avon-Tri-Village / Wimble Shoals,240.0,270.0,282.0,-30.0,-12.0,-42.0,650.0,0.06461538461538462,0.883,0.577,
1984,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,295.0,0.0,-25.0,-25.0,675.0,0.037037037037037035,0.897,0.555,
1984,60,Avon-Tri-Village / Wimble Shoals,310.0,330.0,349.0,-20.0,-19.0,-39.0,950.0,0.04105263157894737,0.774,0.448,
1984,61,Avon-Tri-Village / Wimble Shoals,330.0,335.0,352.0,-5.0,-17.0,-22.0,1110.0,0.01981981981981982,0.865,0.578,
1984,62,Avon-Tri-Village / Wimble Shoals,320.0,320.0,347.0,0.0,-27.0,-27.0,1320.0,0.020454545454545454,0.887,0.549,
1984,63,Avon-Tri-Village / Wimble Shoals,330.0,410.0,344.0,-80.0,66.0,-14.0,1280.0,0.0109375,0.885,0.626,SCATTER_SETBACK(50m)
1984,64,Avon-Tri-Village / Wimble Shoals,320.0,410.0,345.0,-90.0,65.0,-25.0,1290.0,0.01937984496124031,0.887,0.691,
1984,65,Avon-Tri-Village / Wimble Shoals,320.0,460.0,361.0,-140.0,99.0,-41.0,1330.0,0.030827067669172932,0.582,0.639,
1984,66,Avon-Tri-Village / Wimble Shoals,340.0,450.0,364.0,-110.0,86.0,-24.0,1210.0,0.019834710743801654,0.47,0.537,SCATTER_SETBACK(70m)
1984,67,Avon-Tri-Village / Wimble Shoals,430.0,340.0,454.0,90.0,-114.0,-24.0,1245.0,0.01927710843373494,0.519,0.545,SCATTER_SETBACK(41m)
