transect_id,domain_number,line_id,position_1997_m,position_2009_m,change_m,rate_m_yr,start_vintage,end_vintage,start_date,end_date,start_date_assumed,end_date_assumed,interval_yr
dune_306,59,306,3429.475,3440.43,-10.956,-0.942,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_307,59,307,3418.37,3427.711,-9.341,-0.8032,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_308,60,308,3401.795,3400.344,1.452,0.1248,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_309,60,309,3373.464,3377.993,-4.529,-0.3894,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_310,60,310,3356.891,3363.465,-6.573,-0.5652,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_311,60,311,3343.321,3338.231,5.09,0.4377,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_312,60,312,3321.191,3325.201,-4.01,-0.3448,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_313,61,313,3296.379,3301.159,-4.78,-0.411,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_314,61,314,3279.018,3269.993,9.025,0.776,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_315,61,315,3264.359,3251.48,12.879,1.1074,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_316,61,316,3249.795,3231.329,18.466,1.5877,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_317,61,317,3230.079,3209.935,20.144,1.732,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_319,62,319,3199.29,3176.37,22.921,1.9707,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_320,62,320,3167.966,3156.764,11.202,0.9632,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_321,62,321,3142.943,3137.535,5.408,0.465,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_322,62,322,3116.545,3111.316,5.229,0.4496,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_323,62,323,3091.545,3093.037,-1.492,-0.1283,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_324,63,324,3066.888,3076.495,-9.607,-0.826,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_325,63,325,3044.118,3057.837,-13.719,-1.1796,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_326,63,326,3022.818,3036.132,-13.314,-1.1447,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_327,63,327,3008.477,3022.281,-13.804,-1.1869,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_328,63,328,2993.564,3007.399,-13.836,-1.1896,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_329,64,329,2977.581,2991.544,-13.962,-1.2005,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_330,64,330,2963.337,2971.637,-8.3,-0.7137,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_331,64,331,2948.646,2951.173,-2.527,-0.2173,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_332,64,332,2933.412,2935.508,-2.096,-0.1802,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_333,64,333,2920.218,2920.659,-0.441,-0.0379,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_334,65,334,2897.42,2906.41,-8.99,-0.773,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_335,65,335,2875.942,2880.433,-4.49,-0.3861,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_336,65,336,2870.703,2863.277,7.426,0.6385,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_337,65,337,2837.957,2847.03,-9.072,-0.7801,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_338,65,338,2811.187,2816.56,-5.373,-0.462,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_339,66,339,2782.602,2795.228,-12.626,-1.0856,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_340,66,340,2771.359,2786.119,-14.76,-1.2691,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_341,66,341,2770.407,2772.488,-2.081,-0.1789,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_342,66,342,2762.685,2754.514,8.171,0.7025,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_343,66,343,2720.959,2724.399,-3.439,-0.2957,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_344,67,344,2693.151,2706.075,-12.924,-1.1112,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_345,67,345,2665.837,2672.013,-6.176,-0.531,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_346,67,346,2638.404,2642.1,-3.695,-0.3177,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_347,67,347,2625.62,2625.336,0.284,0.0244,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_348,67,348,2598.917,2606.046,-7.129,-0.613,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_349,68,349,2576.832,2584.446,-7.614,-0.6547,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
